"LabID","All","Fine","Broad","HI.Fine","CNMI_HIArch","CNMI_Other","CNMI_NoHybrids","STRUCTURE_strata"
"34027","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34028","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34029","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34030","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34031","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34032","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34033","All","MHI","HIArch","Pelagic","HIArch","Ttru",NA,"HIArch"
"34034","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34035","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34036","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34037","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34065","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34066","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34069","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34070","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"34074","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"35852","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"35857","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"45924","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"45947","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"45948","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"45949","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"45977","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"47055","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
